X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost,GlobalID
1748338.5268,5423830.9361,109740,Stanley St,ChargeNet NZ,ChargeNet NZ,"66 Stanley St, Wellington 6023, NZ",True,1,False,Unlimited,False,-41.323357,174.772457,AC,2020/03/06 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{9B447E39-C915-47DB-AE95-F26335BA321A}
1748660.6589,5423116.7243,109741,Melbourne Rd,ChargeNet NZ,ChargeNet NZ,"Melbourne Rd, Wellington 6023, NZ",True,1,False,Unlimited,False,-41.329728,174.776479,AC,2019/12/05 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{E61D9201-767D-48D0-917F-0FD0F1C65B13}
1749454.2106,5423049.446,109742,Hornsey Rd,ChargeNet NZ,ChargeNet NZ,"Hornsey Rd, Wellington 6023, NZ",True,1,False,Unlimited,False,-41.330187,174.785974,AC,2019/11/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{0FB6CACE-D2CC-4B76-8846-68D39EC5488E}
1748969.0545,5422980.4496,109743,Jackson St,ChargeNet NZ,ChargeNet NZ,"Jackson St, Wellington 6023, NZ",True,1,False,Unlimited,False,-41.330898,174.780196,AC,2019/12/05 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,{6840F8D5-A806-4B1E-9F2F-B6D29D40EF5D}
1748381.2951,5422617.8535,109744,Island Bay,ChargeNet NZ,ChargeNet NZ,"6 Medway St, Wellington 6023, New Zealand",True,1,False,Unlimited,False,-41.334271,174.773264,DC,2019/10/04 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Inoperative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True,{EF909993-C719-47CE-A852-3E8FDB1AEB83}
1615421.7881,5423697.4716,109745,Richmond,ChargeNet NZ,Network Tasman Ltd,"280 Queen Street, Richmond 7020, NZ",True,1,False,Unlimited,False,-41.338061,173.184316,DC,2018/08/01 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{0CA2BFDA-7F58-41A2-B651-6C8B4814238C}
1680322.2193,5409651.9858,109746,Spring Creek,ChargeNet NZ,ChargeNet NZ,"2226 State Highway 1, Blenheim 7202, NZ",True,1,False,Unlimited,False,-41.460704,173.961785,DC,2018/05/01 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{3A7B51F3-0CD4-42AB-879C-9D14D5794E73}
1677034.5219,5404266.9139,109747,Blenheim,ChargeNet NZ,ChargeNet NZ,"1 Westwood Avenue, Blenheim 7271, NZ",True,1,False,Unlimited,False,-41.509526,173.923111,DC,2018/07/04 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{37936AF9-0282-494E-A368-D2B55904903C}
1680059.2477,5403655.9316,109748,Blenheim,ChargeNet NZ,The Warehouse Ltd,"Cnr Kinross and Redwood Streets, Blenheim 7201, NZ",True,1,False,Unlimited,False,-41.514732,173.959433,DC,2021/01/26 00:00:00+00,2,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1}",False,{A36F0D61-7115-4CCE-988D-2354F0E1A68B}
1483506.1653,5376158.5536,109749,Westport,ChargeNet NZ,ChargeNet NZ,"5 Adderley Street, Westport 7825, NZ",True,1,False,Unlimited,False,-41.757863,171.598685,DC,2018/12/06 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{1F2F7D3D-5446-4881-B459-8FA4F986B468}
1543953.8441,5372259.7441,109750,Murchison,ChargeNet NZ,ChargeNet NZ,"Fairfax St, Murchison 7007, NZ",True,1,False,Unlimited,False,-41.799545,172.325373,DC,2019/11/27 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{CD535BE5-5A73-4944-811F-D6AE9DE1E7A2}
1693917.3153,5368581.867,109751,Ward,ChargeNet NZ,ChargeNet NZ,"7326 State Highway 1, Ward 7285, NZ",True,1,False,Unlimited,False,-41.829084,174.130996,DC,2019/05/01 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{75E4DC62-5A9C-4F30-AFDC-D051FFFAB2CC}
1506281.9405,5336270.923,109752,Reefton,ChargeNet NZ,ChargeNet NZ,"47 Broadway, Reefton 7830, NZ",True,1,False,Unlimited,False,-42.120066,171.866254,DC,2018/10/02 00:00:00+00,2,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1}",True,{87A717FE-9845-426A-BE83-9E4347B71514}
1655929.49,5306920.0961,109753,Kaikoura,ChargeNet NZ,ChargeNet NZ,"124-128 Beach Rd, Kaikoura 7300, NZ",True,1,False,Unlimited,False,-42.387995,173.679475,DC,2018/10/26 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{C4EE6D0C-2F90-4748-A9B2-C837DDEBC7B9}
1656169.6512,5305326.1279,109754,Kaikoura,ChargeNet NZ,ChargeNet NZ,"51 West End, Kaikoura 7300, New Zealand",True,1,False,Unlimited,False,-42.402332,173.682548,DC,2016/10/31 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Inoperative, Count:1}",True,{16DC9F17-A4DA-4A00-A717-A893B2D2044C}
1453250.1203,5298872.0271,109755,Greymouth,ChargeNet NZ,The Warehouse Ltd,"174 Mawhera Quay, Greymouth 7805, NZ",True,1,False,Unlimited,False,-42.448596,171.215473,DC,2022/04/01 00:00:00+00,2,"{DC, 25 kW, CHAdeMO, Status: Operative, Count:1},{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1}",False,{26DF479F-B3D4-4DB4-BAB5-60B3F5070F56}
1452700.7403,5298698.4809,109756,Greymouth,ChargeNet NZ,ChargeNet NZ,"13 Tarapuhi Street, Greymouth 7805, New Zealand",True,1,False,Unlimited,False,-42.450054,171.208751,DC,2017/03/16 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{DA94FD7F-0337-44A7-999D-0363B4A99C13}
1433219.7289,5268620.6343,109757,Hokitika,ChargeNet NZ,ChargeNet NZ,"116 Revell Street, Hokitika 7810, NZ",True,1,False,Unlimited,False,-42.716811,170.96319,DC,2018/07/24 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True,{F381FA7D-1889-41FA-A8D0-608256B6D331}
1587477.4515,5264239.3919,109758,Culverden,ChargeNet NZ,ChargeNet NZ,"27A Mountain View Rd, Culverden 7392, New Zealand",True,1,False,Unlimited,False,-42.774278,172.846924,DC,2017/12/21 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{50B3B263-6005-43C6-A447-A948FE7145AD}
1622320.3683,5259938.2967,109759,Cheviot,ChargeNet NZ,ChargeNet NZ,"4 Seddon St, Cheviot 7310, NZ",True,1,False,Unlimited,False,-42.812788,173.273014,DC,2019/05/31 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{DB1BF230-F143-4BDF-9CD8-D0649553439D}
1482342.9041,5255653.7198,109760,Otira,ChargeNet NZ,Portia Properties Ltd,"Otira Hwy, Otira 7875, New Zealand",True,1,False,Unlimited,False,-42.842644,171.560183,DC,2020/02/27 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{4A6741BE-EC17-4058-8EB7-FB7FC7FEE8A7}
1482768.3659,5244641.9512,109761,Arthurs Pass,ChargeNet NZ,ChargeNet NZ,"80 State Highway 73, Arthurs Pass 7875, New Zealand",True,1,False,Unlimited,False,-42.941842,171.563088,Mixed,2020/10/01 00:00:00+00,3,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Inoperative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True,{7F7B4814-8717-48CE-89E6-EA4D029EA2BD}
1578079.822,5221768.1865,109762,Amberley,ChargeNet NZ,ChargeNet NZ,"123 Carters Rd, Amberley 7410, NZ",True,1,False,Unlimited,False,-43.156522,172.730383,DC,2023/05/15 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{2C112DF7-7B37-41F2-BF03-5D87ED9E9904}
1495646.6035,5215245.304,109763,Castle Hill,ChargeNet NZ,ChargeNet NZ,"3 Castle Hill Dr, Castle Hill 7580, New Zealand",True,1,False,Unlimited,False,-43.208364,171.715379,DC,2020/10/15 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True,{0FDFB1F3-90DC-4D23-96EF-7B18D1E5ED2B}
1573384.4078,5204931.0072,109764,Ravenswood ,ChargeNet NZ,ChargeNet NZ,"10 Bob Robertson Drive, Ravenswood 7691, New Zealand",True,1,True,Unlimited,False,-43.307983,172.671818,DC,2023/06/27 00:00:00+00,4,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 50 kW, CHAdeMO, Status: Operative, Count:2}",True,{B607712E-0906-4C1B-887B-C2ED4FACA54C}
