Region,is24Hours,carParkCount,hasCarparkCost,invHourLim,hasTouristAttraction,currentType,numberOfConnectors,hasChargingCost
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,5,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Tasman,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Tasman,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Tasman,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,8,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Nelson,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Nelson,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Marlborough,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
